plotID,county_region,county,own_land,community_land,government_land,mosque_church_land,school_land,other_land,crops,croplist,species_name,plant_date,number_planted,number_survived,woodlot,internal_boundary,external_boundary,garden,crop_field,pasture_grassland,fallow_bushland,mgt_prunning,mgt_fencing,mgt_weeding,mgt_watering,mgt_organic_fertilizer,Hectare
23036,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"imyumbati, ibijumba, insina",Calliandra,2018-11-01,30,24,no,no,yes,no,no,no,yes,yes,no,no,no,no,0.00130997628311916
24572,Eastern,Kayonza,yes,no,no,no,no,"",Yes,Cassava,Cariandra,2018-10-01,10,8,no,no,yes,no,no,no,no,no,no,no,no,no,0.0906318197130021
23934,Eastern,Gatsibo,yes,no,no,no,no,"",No,"",solleum   betaseum,2018-11-01,6,1,no,no,no,no,yes,no,no,no,no,yes,yes,yes,0.0456537280098988
29293,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Zea mays,Grevillea robusta,2018-09-01,38,38,no,no,no,no,yes,no,no,yes,no,no,no,yes,0.192948061625177
17002,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,banana,Grevellia Robusta,2018-11-01,20,18,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,0.0434659463768149
28082,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Ibigori,ibyishimo,imyumbati",Cyprus,2017-11-01,5,3,no,yes,no,no,no,no,no,yes,no,yes,yes,no,0.420620456064732
37045,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,markhamia lutea,2018-10-01,10,8,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,0.0515168391791008
24512,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Intsina, Imyumbati, Amateke",Gereveliya,2018-11-01,5,3,no,no,yes,no,no,no,no,no,no,yes,no,no,0.0338559673602721
3162,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,beans,Grevillea Robusta,2018-10-01,35,28,no,yes,yes,no,no,no,no,yes,no,no,no,no,0.158258270453688
1552,Eastern,Kayonza,yes,no,no,no,no,"",No,"",Senna spectabulis,2018-11-01,10,7,no,no,no,yes,no,no,no,yes,no,no,no,no,0.046087496000601
16457,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,sorghum,gregillea robusta,2018-04-01,3,1,no,no,no,no,yes,no,no,no,no,yes,yes,yes,0.0125738713639059
12265,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,banana,Carca papaya,2018-03-01,4,2,no,no,no,yes,no,no,no,no,no,yes,no,yes,0.056005101075829
13994,Eastern,Kayonza,yes,no,no,no,no,"",Yes,irish potatoes and banana,grevillea robusta,2018-06-01,18,15,no,no,yes,no,no,no,no,no,no,yes,no,yes,0.116884488957311
24411,Eastern,Nyagatare,yes,no,no,no,no,"",No,"",Eucalptus Microcorus,2018-10-01,4542,0,yes,no,no,no,no,no,no,yes,no,yes,no,no,0.356652070819984
36230,Eastern,Bugesera,yes,no,no,no,no,"",No,"",eucalyptus,2018-11-01,15000,12000,yes,no,no,no,no,no,no,yes,no,no,no,no,0.418526336698861
2689,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"",geveriya,2018-10-01,15,6,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,0.0122877327986056
16685,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"ibigori, intsina amasaka",senna siamea,2018-11-01,30,12,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.560508481138161
9590,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,banana,grevillea robusta,2018-11-01,5,3,no,no,yes,no,no,no,no,yes,no,no,no,no,0.0291278250751151
33912,Eastern,Bugesera,yes,no,no,no,no,"",No,"",grevellea,2018-10-01,7,4,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,0.0123632553425315
9166,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,banana trees,solanum betaseum,2018-11-01,4,2,no,no,no,no,yes,no,no,yes,no,yes,no,no,0.034256204510481
33772,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"sunflower, banana and Maize",ibinyomoro,2018-10-01,5,5,yes,no,no,no,yes,no,no,no,no,no,no,yes,0.032780101888066
3926,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Bean,GrevelleaRobusta,2018-10-01,15,10,no,no,yes,no,no,no,no,no,no,yes,no,no,0.0438007515155239
25475,Eastern,Bugesera,yes,no,no,no,no,"",Yes,banana trees,Carica papaya,2018-10-01,5,2,no,yes,no,no,yes,no,no,no,yes,yes,no,no,0.0652365525561984
20471,Eastern,Kayonza,yes,no,no,no,no,"",Yes,Cassava,Gereveriya,2018-11-01,30,18,no,no,yes,no,no,no,no,no,no,yes,no,yes,0.128311811992269
32763,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Urutocyi, amateke",Ibinyomoro,2018-10-01,5,3,no,no,no,yes,no,no,no,no,no,yes,no,no,0.022678779860998
3514,Eastern,Bugesera,yes,no,no,no,no,"",Yes,beans,eucalyptus m,2018-09-01,25,17,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,0.00830938022557709
25619,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Bananas,Maize",Soatodeya,2018-11-01,5,3,no,no,yes,no,no,no,no,no,no,no,no,yes,0.00597474188892009
9647,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,Bananas,Grevelia Robusta,2018-10-01,10,1,no,no,no,yes,no,no,no,yes,no,yes,no,no,0.118874853210922
5051,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,carrot and cabbage,Grevilea robusta,2018-11-01,10,7,no,no,no,yes,no,no,no,no,no,yes,no,yes,0.0169580761183882
